ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,45,45,0,1,0,0,0,12,145,29.254839988425374
8.0,45,46,0,1,0,0,0,12,134,29.037231113761663
8.0,45,47,1,0,1,1,0,7,0,17.36441603861749
8.0,45,48,0,1,0,0,0,12,115,28.892661910504103
8.0,45,49,1,0,1,1,0,7,0,17.33430684544146
8.0,45,50,0,1,0,0,0,12,117,28.989810962229967
8.0,45,51,0,1,0,0,0,12,127,29.097000136971474
8.0,45,52,0,1,0,0,0,12,130,29.03458080254495
8.0,45,53,1,0,1,1,0,3,0,7.981961825862527
8.0,45,54,0,1,0,0,0,12,123,28.84534210897982
8.0,45,55,1,0,1,1,0,4,0,10.339289903640747
8.0,45,56,1,0,1,1,0,2,0,5.60828298330307
8.0,45,57,0,1,0,0,0,12,124,28.930142056196928
8.0,45,58,0,1,0,0,0,12,138,29.07235990278423
8.0,45,59,1,0,1,1,0,11,0,27.35053887590766
8.0,45,60,0,1,0,0,0,12,121,29.183269944041967
8.0,45,61,0,1,0,0,0,12,111,29.248510021716356
8.0,45,62,1,0,1,1,0,5,0,12.720508966594934
8.0,45,63,0,1,0,0,0,12,125,29.127951012924314
8.0,38,0,0,1,0,0,0,12,132,62.34207097440958
8.0,38,1,0,1,0,0,0,12,130,28.909081825986505
8.0,38,2,1,0,1,1,0,6,0,15.103917103260756
8.0,38,3,1,0,1,1,0,9,0,21.771986037492752
8.0,38,4,1,0,1,1,0,3,0,8.142400998622179
8.0,38,5,1,0,1,1,0,5,0,12.570708990097046
8.0,38,6,1,0,1,1,0,6,0,14.858679147437215
8.0,38,7,0,1,0,0,0,12,129,28.964900877326727
8.0,38,8,0,1,0,0,0,12,136,28.83217204362154
8.0,38,9,0,1,0,0,0,12,142,28.97816081531346
8.0,38,10,0,1,0,0,0,12,135,28.958041919395328
8.0,38,11,1,0,1,1,0,6,0,15.041116857901216
8.0,38,12,1,0,1,1,0,6,0,15.06385812535882
8.0,38,13,0,1,0,0,0,12,122,29.085750924423337
8.0,38,14,0,1,0,0,0,12,130,28.93223101273179
8.0,38,15,0,1,0,0,0,12,143,28.802871936932206
8.0,38,16,0,1,0,0,0,12,126,28.988101053982973
8.0,38,17,0,1,0,0,0,12,127,29.056360945105553
8.0,38,18,0,1,0,0,0,12,129,28.887511929497123
8.0,38,19,1,0,1,1,0,2,0,5.732842022553086
8.0,38,20,0,1,0,0,0,12,134,28.934912057593465
8.0,38,21,1,0,1,1,0,4,0,10.314600076526403
